seq,wall_ms,timeCode,eventType,deviceType,userEvent,origReturn,latched
601,104690,1813,1,1,,0,0
602,104690,1814,2,1,,0,0
603,104701,1815,1,1,,0,0
604,104701,1816,2,1,,0,0
605,104711,1817,1,1,,0,0
606,104711,1818,2,1,,0,0
607,104722,1819,1,1,,0,0
608,104722,1820,2,1,,0,0
609,104733,1821,1,1,,0,0
610,104733,1822,2,1,,0,0
611,104745,1823,1,1,,0,0
612,104745,1824,2,1,,0,0
613,104757,1825,1,1,,0,0
614,104757,1826,2,1,,0,0
615,104769,1827,1,1,,0,0
616,104769,1828,2,1,,0,0
617,104781,1829,1,1,,0,0
618,104781,1830,2,1,,0,0
619,104793,1831,1,1,,0,0
620,104793,1832,2,1,,0,0
621,104806,1833,1,1,,0,0
622,104806,1834,2,1,,0,0
623,104818,1835,1,1,,0,0
624,104818,1836,2,1,,0,0
625,104831,1837,1,1,,0,0
626,104831,1838,2,1,,0,0
627,104843,1839,1,1,,0,0
628,104843,1840,2,1,,0,0
629,104856,1841,1,1,,0,0
630,104856,1842,2,1,,0,0
631,104869,1843,1,1,,0,0
632,104869,1844,2,1,,0,0
633,104881,1845,1,1,,0,0
634,104881,1846,2,1,,0,0
635,104894,1847,1,1,,0,0
636,104894,1848,2,1,,0,0
637,104906,1849,1,1,,0,0
638,104906,1850,2,1,,0,0
639,104919,1851,1,1,,0,0
640,104919,1852,2,1,,0,0
641,104930,1853,1,1,,0,0
642,104930,1854,2,1,,0,0
643,104942,1855,1,1,,0,0
644,104942,1856,2,1,,0,0
645,104954,1857,1,1,,0,0
646,104954,1858,2,1,,0,0
647,104965,1859,1,1,,0,0
648,104966,1860,2,1,,0,0
649,104977,1861,1,1,,0,0
650,104977,1862,2,1,,0,0
651,104988,1863,1,1,,0,0
652,104988,1864,2,1,,0,0
653,104999,1865,1,1,,0,0
654,104999,1866,2,1,,0,0
655,105010,1867,1,1,,0,0
656,105010,1868,2,1,,0,0
657,105021,1869,1,1,,0,0
658,105021,1870,2,1,,0,0
659,105033,1871,1,1,,0,0
660,105033,1872,2,1,,0,0
661,105044,1873,1,1,,0,0
662,105045,1874,2,1,,0,0
663,105056,1875,1,1,,0,0
664,105056,1876,2,1,,0,0
665,105213,1877,1,1,,0,0
666,105213,1878,2,1,,0,0
667,105225,1879,1,1,,0,0
668,105225,1880,2,1,,0,0
669,105236,1881,1,1,,0,0
670,105236,1882,2,1,,0,0
671,105247,1883,1,1,,0,0
672,105247,1884,2,1,,0,0
673,105259,1885,1,1,,0,0
674,105259,1886,2,1,,0,0
675,105259,1887,4,2,,1,1
676,105270,1888,1,1,,0,0
677,105270,1889,2,1,,0,0
678,105270,1890,4,2,,1,1
679,105281,1891,1,1,,0,0
680,105281,1892,2,1,,0,0
681,105281,1893,4,2,,1,1
682,105293,1894,1,1,,0,0
683,105293,1895,2,1,,0,0
684,105293,1896,4,2,,1,1
685,105304,1897,1,1,,0,0
686,105304,1898,2,1,,0,0
687,105304,1899,4,2,,1,1
688,105316,1900,1,1,,0,0
689,105316,1901,2,1,,0,0
690,105316,1902,4,2,,1,1
691,105327,1903,1,1,,0,0
692,105327,1904,2,1,,0,0
693,105327,1905,4,2,,1,1
694,105339,1906,1,1,,0,0
695,105339,1907,2,1,,0,0
696,105339,1908,4,2,,1,1
697,105351,1909,1,1,,0,0
698,105351,1910,2,1,,0,0
699,105351,1911,4,2,,1,1
700,105363,1912,1,1,,0,0
701,105363,1913,2,1,,0,0
702,105363,1914,4,2,,1,1
703,105376,1915,1,1,,0,0
704,105376,1916,2,1,,0,0
705,105376,1917,4,2,,1,1
706,105388,1918,1,1,,0,0
707,105388,1919,2,1,,0,0
708,105388,1920,4,2,,1,1
709,105400,1921,1,1,,0,0
710,105400,1922,2,1,,0,0
711,105400,1923,4,2,,1,1
712,105412,1924,1,1,,0,0
713,105412,1925,4,2,,1,1
714,105425,1926,1,1,,0,0
715,105425,1927,2,1,,0,0
716,105425,1928,4,2,,1,1
717,105437,1929,1,1,,0,0
718,105437,1930,2,1,,0,0
719,105437,1931,4,2,,1,1
720,105450,1932,1,1,,0,0
721,105450,1933,4,2,,1,1
722,105462,1934,1,1,,0,0
723,105462,1935,2,1,,0,0
724,105462,1936,4,2,,1,1
725,105475,1937,1,1,,0,0
726,105475,1938,2,1,,0,0
727,105475,1939,4,2,,1,1
728,105487,1940,1,1,,0,0
729,105487,1941,2,1,,0,0
730,105487,1942,4,2,,1,1
731,105500,1943,1,1,,0,0
732,105500,1944,2,1,,0,0
733,105500,1945,4,2,,1,1
734,105512,1946,1,1,,0,0
735,105512,1947,2,1,,0,0
736,105524,1948,1,1,,0,0
737,105524,1949,2,1,,0,0
738,105536,1950,1,1,,0,0
739,105536,1951,2,1,,0,0
740,105549,1952,1,1,,0,0
741,105549,1953,2,1,,0,0
742,105561,1954,1,1,,0,0
743,105561,1955,2,1,,0,0
744,105621,1956,1,1,,0,0
745,105633,1957,1,1,,0,0
746,105633,1958,2,1,,0,0
747,105645,1959,1,1,,0,0
748,105645,1960,2,1,,0,0
749,105656,1961,1,1,,0,0
750,105656,1962,2,1,,0,0
751,105667,1963,1,1,,0,0
752,105667,1964,2,1,,0,0
753,105678,1965,1,1,,0,0
754,105678,1966,2,1,,0,0
755,105688,1967,1,1,,0,0
756,105688,1968,2,1,,0,0
757,105698,1969,1,1,,0,0
758,105698,1970,2,1,,0,0
759,105708,1971,1,1,,0,0
760,105708,1972,2,1,,0,0
761,105719,1973,1,1,,0,0
762,105719,1974,2,1,,0,0
763,105729,1975,1,1,,0,0
764,105729,1976,2,1,,0,0
765,105741,1977,1,1,,0,0
766,105741,1978,2,1,,0,0
767,105752,1979,1,1,,0,0
768,105752,1980,2,1,,0,0
769,105764,1981,1,1,,0,0
770,105764,1982,2,1,,0,0
771,105776,1983,1,1,,0,0
772,105776,1984,2,1,,0,0
773,105788,1985,1,1,,0,0
774,105788,1986,2,1,,0,0
775,105813,1987,1,1,,0,0
776,105813,1988,2,1,,0,0
777,105826,1989,1,1,,0,0
778,105826,1990,2,1,,0,0
779,105838,1991,1,1,,0,0
780,105838,1992,2,1,,0,0
781,105851,1993,1,1,,0,0
782,105851,1994,2,1,,0,0
783,105864,1995,1,1,,0,0
784,105864,1996,2,1,,0,0
785,105902,1997,1,1,,0,0
786,105902,1998,2,1,,0,0
787,105915,1999,1,1,,0,0
788,105928,2000,1,1,,0,0
789,105928,2001,2,1,,0,0
790,105940,2002,1,1,,0,0
791,105940,2003,2,1,,0,0
792,105953,2004,1,1,,0,0
793,105953,2005,2,1,,0,0
794,105965,2006,1,1,,0,0
795,105965,2007,2,1,,0,0
796,105977,2008,1,1,,0,0
797,105977,2009,2,1,,0,0
798,105989,2010,1,1,,0,0
799,105989,2011,2,1,,0,0
800,106000,2012,1,1,,0,0
801,106000,2013,2,1,,0,0
802,106011,2014,1,1,,0,0
803,106011,2015,2,1,,0,0
804,106021,2016,1,1,,0,0
805,106021,2017,2,1,,0,0
806,106031,2018,1,1,,0,0
807,106031,2019,2,1,,0,0
808,106042,2020,1,1,,0,0
809,106042,2021,2,1,,0,0
810,106053,2022,1,1,,0,0
811,106053,2023,2,1,,0,0
812,106063,2024,1,1,,0,0
